SIG_CD,시군구명,2019_노인청소년_예산,"2020_노인,청소년_예산",예산변화량,2019_전체예산,2020_전체예산,2019_노인1인인구,2020_노인1인인구,2019_노인인구,2020_노인인구,총복지시설,노인주거복지시설,노인의료복지시설,노인여가복지시설,재가노인복지시설,노인일자리 지원기관,학대피해노인전용쉼터,치매전담형 장기요양기관,총 종사자수,노인주거복지시설 종사자수,노인의료복지시설 종사자수,노인여가복지시설 종사자수,재가노인복지시설 종사자수,노인일자리 지원기관 종사자수,치매전담형 장기요양기관 종사자수
경상북도,포항시,222397,258450,36053,2238200,2487240,17040,18743,77024,82001,685,2,34,630,16,1,1,1,908,22,701,13,149,19,4
경상북도,경주시,146438,162520,16082,1600000,1763100,12169,13030,52504,54639,676,3,22,628,19,1,0,3,668,23,404,14,202,6,19
경상북도,김천시,96503,113142,16639,1067200,1190000,7148,7482,30318,31252,581,1,41,524,14,1,0,0,774,11,616,20,121,6,0
경상북도,안동시,116892,131462,14570,1390700,1456700,8789,9222,36850,37906,575,4,16,545,9,1,0,0,595,20,439,0,130,6,0
경상북도,구미시,176852,155451,-21401,1504600,1603800,7406,8068,35432,37540,488,2,40,413,30,1,0,2,1140,14,813,11,289,6,7
경상북도,영주시,85166,95093,9927,870000,913122,6028,6306,26341,27259,417,1,23,365,25,1,0,2,932,14,515,17,357,17,12
경상북도,영천시,82540,93280,10740,981083,949209,6572,6834,26844,27672,448,1,16,427,3,1,0,0,323,9,267,1,40,6,0
경상북도,상주시,89932,100658,10726,1252600,1205800,7361,7636,29100,29822,625,2,19,590,13,1,0,0,577,11,441,6,101,18,0
경상북도,문경시,69737,77592,7855,810400,835300,5219,5475,20324,20891,427,2,19,393,12,1,0,0,486,17,381,9,71,8,0
경상북도,경산시,103667,123915,20248,1101600,1412500,8032,8767,40066,42079,464,3,53,396,10,1,0,1,923,17,829,31,33,6,7
경상북도,군위군,33997,34177,180,368613,402726,2272,2321,8983,9176,224,1,4,211,8,0,0,0,157,12,87,0,58,0,0
경상북도,의성군,78609,84261,5652,745716,730000,5597,5662,20570,21005,525,1,19,489,15,1,0,0,509,7,325,23,148,6,0
경상북도,청송군,39354,44456,5102,424435,427831,2251,2353,8957,9135,241,1,5,222,11,1,0,1,334,5,172,0,149,8,0
경상북도,영양군,28113,32274,4161,358000,357000,1603,1677,6084,6118,175,0,6,165,4,0,0,0,139,0,124,0,15,0,0
경상북도,영덕군,45942,50640,4698,585381,574400,3752,3907,13287,13458,247,0,5,241,1,0,0,0,134,0,123,0,11,0,0
경상북도,청도군,46876,51943,5067,423177,492806,3909,3978,15172,15541,343,2,13,318,9,0,0,1,315,5,233,4,68,0,5
경상북도,고령군,32444,35882,3438,360042,377849,2209,2322,9380,9648,213,2,6,205,0,0,0,0,120,24,96,0,0,0,0
경상북도,성주군,43903,50469,6566,556500,553700,2908,3010,13142,13477,299,1,8,283,7,0,0,0,167,7,141,0,19,0,0
경상북도,칠곡군,52512,59941,7429,586810,630900,3326,3612,16692,17488,294,4,24,261,4,1,0,0,511,43,437,2,23,6,0
경상북도,예천군,50003,54846,4843,534874,582059,4231,4306,15876,16389,379,0,6,368,3,0,1,1,256,0,194,12,45,0,5
경상북도,봉화군,41274,45891,4617,502300,510717,2824,2914,11040,11222,271,0,6,263,1,0,0,1,249,0,214,15,10,0,10
경상북도,울진군,52302,51369,-933,892880,741158,3785,3942,13073,13356,265,0,3,255,7,0,0,0,201,0,107,2,92,0,0
경상북도,울릉군,9621,10748,1127,212000,261000,445,507,2290,2341,30,1,2,27,0,0,0,0,23,6,16,1,0,0,0
경상남도,창원시,350570,406408,55838,3734150,4318930,27845,30993,131613,140151,1171,3,50,1044,65,5,1,3,1911,32,1149,105,590,26,9
경상남도,진주시,136255,172358,36103,1778405,1857630,12479,13355,53260,55899,589,0,25,548,9,3,0,4,736,0,619,25,55,17,20
경상남도,통영시,87736,100969,13233,743560,801528,5462,5886,22844,23895,276,3,8,249,15,1,0,0,527,16,260,0,246,5,0
