시도명,시군구명,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
대전광역시,동구,237273,7196,9121,9334,15249,23372,15608,12201,15765,15888,18451,18192,19064,17549,12655,9837,8518,5461,2645,941,203,23
대전광역시,중구,234995,7087,9501,10151,12509,14774,15160,12221,15512,16843,20249,19908,19701,18325,13399,10987,8850,5960,2726,907,206,19
대전광역시,서구,480920,17893,22170,23130,29561,38481,37232,31315,36275,36031,43006,40428,37777,31069,19738,13753,10653,7264,3579,1244,277,44
대전광역시,유성구,366544,17212,19813,18517,22988,33040,30783,27679,31261,29192,31737,28204,25407,19412,11114,7185,5649,4075,2229,842,189,16
대전광역시,대덕구,179107,5128,6842,7611,10321,14695,12382,9567,11320,12343,16029,17005,16473,13693,8674,6283,5208,3416,1540,444,122,11
울산광역시,중구,219428,7873,10253,9551,10681,12620,14159,12420,16310,15941,19247,21160,21202,17801,11714,7759,5718,3207,1324,413,65,10
울산광역시,남구,322135,11188,13540,13992,16929,23047,23603,19984,23721,22964,30201,32482,30314,23776,14650,9216,6368,3710,1736,578,127,9
울산광역시,동구,162104,7363,9091,7722,7835,8517,10061,11692,15758,13350,12873,12835,14376,12928,7696,4647,2793,1535,726,243,60,X
울산광역시,북구,213524,12378,13779,11967,11279,11844,14089,15221,20871,18811,18579,20291,17532,10960,6035,3889,2886,1832,912,287,77,5
울산광역시,울주군,226501,8557,10629,10820,11890,14117,14631,13148,16695,17428,21487,21503,19704,16137,10139,7022,5814,3904,2014,726,121,15
세종시,세종시,338136,21785,24398,21380,17841,20804,20867,25627,35451,32778,29517,22016,19389,16003,10237,7160,5793,4045,2154,745,125,21
경기도,수원시,1214986,48932,57128,55850,66045,87552,100619,89557,102824,98501,110074,105898,97235,71114,42578,31033,23779,15625,7337,2649,586,70
경기도,장안구,282288,8656,11791,13402,17342,23784,22181,16162,19259,21203,26419,26370,23719,17664,10954,8449,6865,4728,2266,865,187,22
경기도,권선구,374770,16941,18314,15911,17440,23795,29601,28720,34518,30214,32260,33144,31800,23604,13908,9779,7063,4642,2188,756,149,23
경기도,팔달구,189052,5262,5983,6271,8216,12178,16187,14226,14441,13922,17009,17316,17764,14208,9095,6638,5155,3191,1361,495,125,9
경기도,영통구,368876,18073,21040,20266,23047,27795,32650,30449,34606,33162,34386,29068,23952,15638,8621,6167,4696,3064,1522,533,125,16
경기도,성남시,919895,31739,38681,39714,46131,56635,68939,64321,73050,71199,85453,79566,77333,64629,41024,31546,23896,15327,7262,2750,627,73
경기도,수정구,241256,7870,8446,7798,10260,16724,18917,17028,19136,17672,20402,20717,22129,18972,12626,9341,6849,3953,1645,620,138,13
경기도,중원구,216005,6629,7480,7678,9547,13619,17122,15025,16885,15362,18461,19338,20302,17297,11068,8316,6088,3552,1538,549,131,18
경기도,분당구,462634,17240,22755,24238,26324,26292,32900,32268,37029,38165,46590,39511,34902,28360,17330,13889,10959,7822,4079,1581,358,42
경기도,의정부시,440357,15793,19295,19246,22594,28866,30797,25975,33246,32450,40247,39209,37656,30826,19807,16327,13486,8857,3964,1382,294,40
경기도,안양시,557339,19759,22631,24242,28888,36935,41083,37953,42032,40438,50321,50517,50808,41332,24731,17217,13162,8955,4472,1513,315,35
경기도,만안구,246200,8436,8538,8418,11303,17056,18810,16814,18408,16451,20054,22039,23753,20035,12560,8950,6894,4560,2184,748,172,17
경기도,동안구,311139,11323,14093,15824,17585,19879,22273,21139,23624,23987,30267,28478,27055,21297,12171,8267,6268,4395,2288,765,143,18
경기도,부천시,836751,29413,33861,33172,38921,54118,63649,58527,67180,61213,72066,74657,79668,65358,38257,25426,18969,12778,6456,2433,551,78
경기도,광명시,313462,11431,14481,15079,16676,18145,20438,20346,25369,25473,29280,27176,26112,22909,14478,10140,7734,4885,2379,732,169,30
경기도,평택시,521172,22759,26128,24937,26556,32704,39288,38630,45770,43887,47819,43989,39520,29854,18588,14347,12231,8775,3788,1276,284,42
경기도,동두천시,96541,3021,4076,4139,5233,5755,5897,5195,6473,6785,8214,8126,7997,7159,4824,4490,4246,2945,1318,521,105,22
경기도,안산시,714650,23281,27371,29724,39309,54175,59855,50375,54220,54561,69730,72639,65167,44645,23966,16285,13218,9504,4593,1626,359,47
경기도,상록구,356620,11385,13765,15089,20709,29489,29715,22469,25115,26232,34441,36286,32256,22123,12081,8930,7541,5311,2551,881,220,31
경기도,단원구,358030,11896,13606,14635,18600,24686,30140,27906,29105,28329,35289,36353,32911,22522,11885,7355,5677,4193,2042,745,139,16
경기도,고양시,1024645,37009,46070,47198,53762,62954,72213,62250,76174,79305,101101,96698,89996,67254,38496,31558,28139,20479,9814,3329,743,103
경기도,덕양구,448571,17592,20482,18805,20976,26723,31275,28880,35802,34752,41030,39954,38920,30719,18713,15535,13353,9183,4141,1395,304,37
경기도,일산동구,287041,9275,11975,13027,15444,18260,21871,17592,20404,22104,29452,27911,25877,18646,10188,7881,7340,5576,2892,1048,242,36
경기도,일산서구,289033,10142,13613,15366,17342,17971,19067,15778,19968,22449,30619,28833,25199,17889,9595,8142,7446,5720,2781,886,197,30
경기도,과천시,53830,1856,2412,2674,3062,3366,3588,3365,3709,3623,5066,5051,4728,3791,2361,1769,1509,1073,536,230,51,10
경기도,구리시,192270,7381,8797,8436,9534,12189,13353,11614,15465,14920,17599,17800,17266,13420,8301,6227,4942,3058,1426,429,98,15
경기도,남양주시,681077,28381,38307,36928,36126,39067,38864,36336,55827,59562,65232,57412,53118,44284,29598,23576,18713,11768,5420,2005,476,77
경기도,오산시,233998,11606,14248,12465,11918,13646,16791,18626,24644,21955,21358,18299,15755,11867,7185,5261,4154,2667,1097,366,73,17
경기도,시흥시,508749,23169,25491,23747,25632,33090,38078,38982,48299,44464,48683,47346,41028,27875,14894,10157,8151,5675,2704,1020,224,40
경기도,군포시,275154,10420,12299,12356,14136,16743,19818,19192,21699,20773,25289,24605,24635,19335,10991,8042,6479,4709,2482,903,220,28
경기도,의왕시,155826,5848,6813,6517,8427,10416,10958,9706,11414,10853,13348,14277,14712,12181,6920,4920,3814,2651,1416,499,120,16
경기도,하남시,260544,13605,15290,11721,10280,12629,16831,18862,26749,23357,21529,19242,19993,18283,12246,8695,5481,3314,1599,648,172,18
경기도,용인시,1052529,45079,58542,57826,61252,71706,67302,62820,88206,92183,102228,84906,70876,56825,40995,35154,27469,17073,8157,3101,741,88
경기도,처인구,266647,10021,12283,11813,16783,21119,19017,16919,21520,20799,22694,21737,20650,16832,11312,8429,6706,4625,2342,845,178,23
경기도,기흥구,434075,19500,25667,24860,24256,29975,27331,25373,37277,38974,43339,34570,27635,22315,16147,14124,10975,6786,3280,1326,326,39
경기도,수지구,351807,15558,20592,21153,20213,20612,20954,20528,29409,32410,36195,28599,22591,17678,13536,12601,9788,5662,2535,930,237,26
경기도,파주시,454328,20056,25025,23345,23252,25405,32724,33047,39560,36785,41226,35587,32433,26608,16776,14641,12891,8846,4180,1551,339,51
경기도,이천시,222995,9058,10914,10490,13254,13994,18229,16376,17739,17094,18247,17676,17318,14044,8925,6745,5785,4191,2024,720,153,19
경기도,안성시,202284,6698,8722,8724,11838,15198,13779,13024,16010,15323,16664,16028,15752,13624,9352,7083,6127,4800,2494,797,221,26
경기도,김포시,442910,23584,28110,22807,19496,21143,28860,32243,46225,42188,38418,32436,30629,25965,17088,13531,9832,6244,2867,999,222,23
경기도,화성시,838635,48850,56597,48304,41307,45341,61020,72409,93373,82864,74479,59037,50059,37394,23325,16810,12599,8795,4309,1400,324,39
경기도,광주시,375238,17627,18493,15712,17135,21296,25089,27261,36692,31381,32563,30639,29939,26087,16463,11785,8468,5100,2373,887,216,32
경기도,양주시,224684,8617,11133,11221,11514,13078,14412,13154,17094,17875,20839,18735,17639,15497,10040,8614,6981,4754,2314,887,249,37
경기도,포천시,159871,4170,5221,5650,7198,11664,12969,10687,10218,10319,12706,14209,14975,13278,7658,6469,5512,4110,1900,726,206,26
경기도,여주시,111981,3364,4298,4474,5550,6667,6830,6000,7288,7317,8739,9465,10210,9475,6731,5093,4665,3390,1684,580,153,8
경기도,연천군,42540,1429,1484,1429,1649,2272,3094,2259,2285,2192,2803,3255,3904,4050,2678,2602,2330,1743,737,273,65,7
경기도,가평군,59823,1627,1954,2098,2838,2748,3027,2783,3250,3434,4316,5043,6078,6253,4254,3367,3028,2244,1021,362,87,11
경기도,양평군,111836,3138,4235,4482,5204,4890,5228,4736,6252,6871,8550,8989,10948,11306,8314,6564,5457,3857,1945,696,157,17
강원도,춘천시,284753,9613,12368,12407,17240,23723,18553,15734,19162,18912,22926,22818,23453,21123,13079,10748,10329,7441,3389,1382,313,40
강원도,원주시,349319,12563,15939,16791,20696,26084,22186,20179,25104,25768,30562,29888,29471,24873,14984,10918,10505,7631,3587,1275,273,42
강원도,강릉시,216357,6017,7898,8652,12966,18256,12226,9580,12669,14270,17767,17264,18779,17941,12326,10269,8986,6130,2880,1159,283,39
강원도,동해시,86780,2882,3995,4137,4115,3919,4141,3942,5756,6511,7963,7498,7774,7322,5114,4073,3726,2351,1115,352,88,6
강원도,태백시,42474,1156,1715,1804,1966,1807,1529,1574,2635,3076,3535,3701,3974,4133,3111,2544,2205,1342,483,146,36,X
강원도,속초시,78643,2650,3254,3297,3676,3616,4170,4050,5226,5450,6975,7193,7676,6932,4361,3609,3034,2003,903,474,84,10
강원도,삼척시,67210,1825,2246,2326,3610,6181,3219,2747,3620,4054,4969,5218,6081,5856,4245,3581,3416,2385,1165,387,73,6
강원도,홍천군,66634,1782,2218,2451,2814,2863,3362,3080,3552,3606,4602,5496,7034,7345,4713,3657,3496,2757,1260,429,100,17
강원도,횡성군,44431,1014,1251,1447,2160,2117,1874,1685,2009,2072,2868,3659,4828,5178,3499,2754,2642,2017,915,348,79,15
강원도,영월군,36332,714,1047,1145,1579,1574,1311,1257,1608,1886,2704,3191,3925,4057,2992,2329,2414,1630,686,225,50,8
강원도,평창군,39657,858,1170,1347,1373,1428,1665,1511,1924,2252,2997,3560,4419,4590,3087,2550,2282,1673,646,240,72,13
강원도,정선군,35255,754,1127,1193,1168,1195,1366,1648,2091,2243,2696,3086,3784,3847,2639,2175,2119,1288,567,199,62,8
강원도,철원군,43520,1694,1701,1766,1855,2560,3209,2451,2534,2596,3124,3309,3853,3544,2376,2381,2297,1394,551,260,55,10
강원도,화천군,23425,967,920,834,867,1339,2117,1498,1359,1248,1448,1737,2108,1963,1276,1149,1264,827,343,120,36,5
강원도,양구군,21780,956,937,837,1104,1210,1809,1341,1379,1184,1383,1541,1993,1819,1104,934,1081,696,320,114,34,X
강원도,인제군,30133,1316,1294,1149,903,1576,2223,1864,2075,1842,1996,2247,2993,2765,1662,1331,1352,935,396,161,47,6
강원도,고성군,27144,600,703,723,1050,2287,1903,1172,1242,1263,1796,2012,2544,2637,1874,1725,1707,1135,479,227,57,8
강원도,양양군,26280,580,776,809,856,1000,1099,1051,1387,1516,1876,2187,2698,2795,2101,1837,1775,1160,476,231,63,7
