시군구코드,시도명,시군구명,2019_노인청소년_예산,2020_노인청소년_예산,2019_전체예산,2020_전체예산,2019_총인구,2020_총인구,2019_노인인구,2020_노인인구,예산인구평가지표,스케일링된 민맥스,LHIi,LMIi,LLIi,LSIi,복지서비스평가지표,복지민맥,종합평점
39010,제주특별자치도,제주시,246276,285991,1505278,1874768,487688,492306,63813,66690,-0.1243,45.85448393,0.281869177,1.356892354,-0.212190154,0.347929656,1.774501033,32.82198668,38.25884026
31260,경기도,양주시,92610,109840,935892,1121455,224684,233286,31121,33412,-0.0306,59.06655386,-0.174724115,1.940061798,-0.277947793,-0.46033027,1.02705962,28.21134978,38.18485875
36040,전라남도,나주시,79874,88269,929894,996356,112101,113293,24658,25257,0.0069,64.35420192,0.382784479,-0.228052905,0.806584566,-0.135049478,0.826266662,26.97274645,38.01308601
23080,인천광역시,서구,137979,158295,1030284,1138812,540655,541534,49975,53691,-0.0469,56.76818951,0.151413951,0.90929132,-0.379472826,0.393224928,1.074457372,28.50372564,37.95164905
37020,경상북도,경주시,146438,162520,1600000,1763100,264314,261778,52504,54639,-0.0191,60.68809927,0.491497167,-0.124996573,0.649143842,-0.129151285,0.886493151,27.34425714,37.70138752
31210,경기도,이천시,93054,104831,1520231,1362087,222995,226212,27988,29245,0.1076,78.55329949,0.317556866,0.008922305,0.083061542,-0.01876318,0.390777533,24.28640581,37.10195986
32040,강원도,동해시,63962,80404,536521,525074,86780,87801,16526,17338,0.1494,84.44726452,0.202696413,-0.543869112,-0.52902708,1.157984498,0.287784719,23.6510885,36.95282436
32310,강원도,홍천군,57804,72278,733089,746760,66634,66587,16406,17173,0.055,71.13649182,1.778805033,-0.236723912,-0.392842029,-0.69491783,0.454321262,24.67837909,36.64427652
31250,경기도,광주시,106716,125850,1434506,1549750,375238,385141,42843,46344,0.0233,66.66666667,0.317556866,0.472210226,0.26642771,-0.568754756,0.487440045,24.88267427,36.23936414
32320,강원도,횡성군,47484,48460,593291,639664,44431,44649,12445,12989,-0.0253,59.81387479,1.460464354,-0.353734048,-0.68600054,0.233540963,0.654270729,25.91177929,36.15916236
11160,서울특별시,강서구,175531,202306,1020690,1378771,574097,564854,79445,83839,-0.2542,27.53807107,2.991889002,0.277594302,0.019153953,1.605493791,4.894131048,52.06561033,36.02311984
23090,인천광역시,미추홀구,165614,195011,697279,930035,411612,405886,62833,65642,-0.2594,26.80485054,1.258633751,1.610951166,-0.059073505,2.488708656,5.299220068,54.56442609,35.9494725
36350,전라남도,고흥군,93070,107712,841783,889123,60332,60045,25568,25806,0.021,66.34235759,-0.702692783,-0.303104724,0.652741381,0.708599605,0.355543478,24.06906244,35.3229348
