"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(읍면동)",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
"행정구역별(읍면동)",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"송파구",648600,24494,27386,27014,30762,38305,51785,52640,57621,50333,55111,51701,51092,46846,31885,22540,14626,8355,4151,1580,332,41,643288,22173,27286,27216,28457,38406,51667,51973,54986,51095,53140,51378,49005,47236,34947,23827,15160,8723,4499,1717,351,46
"강동구",415287,14087,16482,16633,19293,24040,30972,29695,34656,31421,34859,33448,35659,33305,22644,16545,10881,6186,2943,1223,272,43,444434,15267,18720,18462,18803,24997,33614,32965,36812,35271,35699,35105,35538,35681,25937,18109,11782,6636,3342,1349,288,57
"부산광역시",3372692,108650,131200,124504,159525,226140,225555,192974,242964,232814,270887,272717,296549,285494,206460,155901,121817,72969,32198,10948,2153,273,3349016,98637,131903,126187,144199,218047,226843,192718,227062,236830,260800,273734,281623,291543,224086,164547,122339,77700,35683,11847,2384,304
"읍부",144728,7900,9945,8022,7088,6305,7243,8705,14632,14251,13007,9814,8985,8709,6611,5091,3992,2567,1304,444,104,9,141436,6441,9496,8086,6938,6360,7274,8072,12483,14261,12912,10145,8646,9006,7130,5354,4073,2720,1399,492,130,18
"면부",16004,404,504,376,432,710,842,743,972,881,1079,1240,1643,1783,1396,1166,910,562,267,66,25,X,28029,1530,1499,920,796,1195,1497,1982,2597,2139,1897,2093,2218,2405,1817,1396,974,653,305,88,22,6
"동부",3211960,100346,120751,116106,152005,219125,217470,183526,227360,217682,256801,261663,285921,275002,198453,149644,116915,69840,30627,10438,2024,261,3179551,90666,120908,117181,136465,210492,218072,182664,211982,220430,245991,261496,270759,280132,215139,157797,117292,74327,33979,11267,2232,280
"중구",41958,649,823,849,1395,2588,3264,2481,2601,2535,3221,3324,3802,4165,3218,2585,2200,1306,616,278,49,9,41439,526,777,822,1195,2663,3434,2404,2460,2414,3059,3309,3534,4120,3419,2721,2202,1385,635,295,55,10
"서구",105847,2441,3159,3139,4415,7238,7001,5347,6522,6351,7984,8096,9583,9802,7734,6293,5348,3390,1383,491,119,11,105303,2302,3175,3190,4039,7156,7004,5309,6046,6477,7627,8127,8949,9931,8243,6603,5317,3560,1609,500,125,14
"동구",85673,1954,2157,2133,3164,4547,5685,4903,5470,5200,6419,6678,7635,8213,6601,5507,4753,2945,1176,448,75,10,87246,1902,2181,2175,2893,4476,6035,5236,5435,5305,6301,6927,7265,8425,7107,5737,4772,3142,1363,485,77,7
"영도구",117959,2399,3221,3231,5814,9424,6741,5293,6578,6787,8630,9057,10676,11613,8995,7558,6300,3644,1435,463,84,16,113224,2078,3037,3210,5018,8200,6369,4884,5935,6558,8157,8832,9818,11428,9642,7804,6217,3877,1577,476,92,15
"부산진구",352390,10294,11898,11267,16306,25392,27190,22266,24993,23250,27277,27317,30488,29905,21798,16719,13525,7968,3345,983,189,20,351403,9294,11671,11285,14658,24856,28508,22793,23798,23515,26140,27492,28978,30362,23502,17475,13393,8619,3765,1074,208,17
"동래구",260986,8355,10977,11266,12544,14933,16115,14192,18575,18969,22340,21854,22627,22008,16355,11935,9074,5329,2481,838,190,29,263345,8035,11355,11868,11859,14937,16142,14495,17748,19709,22003,21936,21555,22333,17708,12814,9257,5666,2746,952,197,30
"남구",278849,8308,10937,10748,15044,24247,18242,14285,18834,19453,22880,21312,22250,22272,16820,13331,10635,5916,2426,782,109,18,269111,7162,10642,10765,12642,22704,18027,13562,16743,19172,21692,21361,20465,22154,17731,13782,10551,6331,2652,821,137,15
"북구",285098,9360,10781,10890,13526,19457,19755,15830,18934,18617,22707,26354,28956,25070,16407,11351,8656,5193,2303,778,153,20,280177,8271,10663,10542,12120,18290,19538,15836,17491,18367,21373,25653,27724,26151,17987,12296,8711,5481,2652,830,180,21
"해운대구",392846,12522,16653,17467,21556,23078,23387,20288,27122,29306,36414,34656,34837,31681,21888,16379,12843,7973,3449,1118,210,19,389535,11440,16765,17569,19177,22753,23543,20106,25305,29329,34648,35265,33677,32414,23941,17169,12863,8381,3775,1161,229,25
"사하구",319828,9860,12039,11724,15932,21447,21206,18052,23083,21338,25689,26783,29608,27922,19694,14361,10533,6363,2896,1053,221,24,312057,8368,11683,11517,14599,20492,20581,17070,20796,21210,24128,26414,27640,28639,21482,15207,10803,6807,3161,1174,254,32
"금정구",244726,6083,7829,7989,12825,22540,17988,12530,14790,14539,18085,19712,22387,21232,15455,11803,9260,5693,2793,966,204,23,237219,5188,7694,7864,11124,21334,17467,12208,13152,14480,16905,19161,20906,21288,16688,12251,9223,5912,3069,1062,213,30
"강서구",128809,9594,9545,5815,4071,5011,8089,11680,16811,11903,8793,7409,8342,8116,5263,3419,2521,1477,687,222,38,X,136734,9454,10561,6747,4223,5121,8175,12130,17234,13641,9582,7952,8340,8637,6109,3759,2499,1583,704,237,36,10
"연제구",203959,7147,8016,7500,8884,12192,13368,12252,15338,14296,16515,16393,17462,17410,12817,9634,7524,4432,1932,689,137,21,204947,6607,8114,7663,8203,12174,13526,12446,14460,14794,16024,16636,16679,17746,14089,10269,7617,4781,2184,751,162,22
"수영구",170414,5039,5282,5169,6276,9739,13100,10956,12588,11205,13196,12820,14377,15350,11705,9316,7022,4338,2038,748,131,19,171461,4638,5461,5138,5959,9560,13673,11361,11790,11608,12794,13211,13599,15381,12508,9830,7070,4655,2234,833,141,17
"사상구",222618,6341,7434,6919,10253,17292,16339,13171,15121,13933,16651,19898,22891,20243,13703,9453,6721,3873,1667,581,115,19,216350,5401,7129,6826,8756,15776,16050,12824,13589,13851,15558,19220,21630,21123,14983,10080,6797,4147,1853,616,126,15
"기장군",160732,8304,10449,8398,7520,7015,8085,9448,15604,15132,14086,11054,10628,10492,8007,6257,4902,3129,1571,510,129,12,169465,7971,10995,9006,7734,7555,8771,10054,15080,16400,14809,12238,10864,11411,8947,6750,5047,3373,1704,580,152,24
