2020,3,11200535,왕십리도선동,27197,12959,14238,4167,4405,4878,4103,4384,5260,2081,2050,2309,2024,2101,2394,2086,2355,2569,2079,2283,2866,11679,0,11679,718816
2020,3,11200540,마장동,23348,11511,11837,3110,4466,3387,3192,3876,5317,1588,2193,1756,1607,1922,2445,1522,2273,1631,1585,1954,2872,10877,0,10877,1082999
2020,3,11200550,사근동,11680,5995,5685,1245,4323,1669,1189,1268,1986,591,2385,908,620,615,876,654,1938,761,569,653,1110,7426,0,7426,1182945
2020,3,11200560,행당1동,15793,7668,8125,2179,2602,2560,2441,2582,3429,1095,1276,1263,1201,1247,1586,1084,1326,1297,1240,1335,1843,7161,0,7161,552563
2020,3,11200570,행당2동,24582,11559,13023,4287,3070,3813,4363,3916,5133,2020,1446,1823,2113,1927,2230,2267,1624,1990,2250,1989,2903,9454,0,9454,457197
2020,3,11200580,응봉동,16162,7675,8487,3078,1792,2306,3121,2462,3403,1519,908,1101,1485,1199,1463,1559,884,1205,1636,1263,1940,6180,0,6180,547736
2020,3,11200590,금호1가동,15856,7590,8266,2501,1918,2870,2611,2408,3548,1283,946,1364,1318,1145,1534,1218,972,1506,1293,1263,2014,6619,0,6619,441318
2020,3,11200615,금호2.3가동,24012,11440,12572,3472,3015,4400,3893,3737,5495,1750,1517,2107,1944,1763,2359,1722,1498,2293,1949,1974,3136,10323,0,10323,638261
2020,3,11200645,옥수동,27174,12711,14463,4446,3155,5426,4502,3989,5656,2274,1451,2419,2243,1854,2470,2172,1704,3007,2259,2135,3186,11105,0,11105,1239152
2020,3,11200650,성수1가1동,16849,8425,8424,2351,2599,2935,2559,3048,3357,1228,1328,1472,1248,1560,1589,1123,1271,1463,1311,1488,1768,7587,0,7587,2248463
2020,3,11200660,성수1가2동,14194,7058,7136,1917,2237,2652,2286,2169,2933,989,1122,1298,1141,1119,1389,928,1115,1354,1145,1050,1544,6607,0,6607,984783
2020,3,11200670,성수2가1동,17138,8954,8184,1923,2456,2698,2491,3317,4253,1004,1292,1447,1329,1807,2075,919,1164,1251,1162,1510,2178,8516,0,8516,1126355
2020,3,11200690,성수2가3동,11349,5793,5556,1193,2022,2062,1527,1897,2648,613,942,1079,807,1029,1323,580,1080,983,720,868,1325,5673,0,5673,1050781
2020,3,11200720,송정동,10955,5818,5137,1244,1680,1702,1652,2078,2599,672,880,942,902,1160,1262,572,800,760,750,918,1337,5503,0,5503,584812
2020,3,11200790,용답동,12297,6524,5773,1225,1982,1756,1913,2330,3091,620,955,981,1094,1362,1512,605,1027,775,819,968,1579,6823,0,6823,2379362
2020,3,11215710,화양동,21813,10400,11413,1267,8787,4307,2212,2085,3155,606,3808,2228,1225,1109,1424,661,4979,2079,987,976,1731,15939,0,15939,1124376
2020,3,11215730,군자동,19728,9753,9975,2101,4123,3664,2635,3019,4186,1097,2005,1859,1360,1530,1902,1004,2118,1805,1275,1489,2284,10539,0,10539,733236
2020,3,11215740,중곡1동,16503,8099,8404,1755,2787,3213,2401,2665,3682,918,1300,1631,1247,1299,1704,837,1487,1582,1154,1366,1978,8349,0,8349,602769
2020,3,11215750,중곡2동,22009,10546,11463,2837,3788,4008,3116,3646,4614,1451,1769,1985,1530,1722,2089,1386,2019,2023,1586,1924,2525,10327,0,10327,544807
2020,3,11215760,중곡3동,17079,8484,8595,1957,2686,2813,2497,3078,4048,1003,1373,1493,1236,1528,1851,954,1313,1320,1261,1550,2197,8436,0,8436,600824
2020,3,11215770,중곡4동,29801,14693,15108,3803,4470,4537,4402,5469,7120,2014,2272,2287,2217,2635,3268,1789,2198,2250,2185,2834,3852,13053,0,13053,2295463
2020,3,11215780,능동,11440,5271,6169,1187,2253,2704,1590,1445,2261,615,929,1256,806,651,1014,572,1324,1448,784,794,1247,6221,0,6221,1094134
2020,3,11215810,광장동,35891,17347,18544,9131,4163,4033,7953,5336,5275,4691,2044,1761,3677,2756,2418,4440,2119,2272,4276,2580,2857,12011,0,12011,2889609
2020,3,11215820,자양1동,22993,11109,11884,2742,4244,3959,3516,3683,4849,1430,2030,1973,1760,1760,2156,1312,2214,1986,1756,1923,2693,11499,0,11499,621606
2020,3,11215830,자양2동,26501,13004,13497,3873,3959,4280,4234,4386,5769,2054,2003,2117,2083,2066,2681,1819,1956,2163,2151,2320,3088,11222,0,11222,1630926
2020,3,11215840,자양3동,30212,14568,15644,5287,4181,4620,4806,4925,6393,2623,2068,2211,2311,2381,2974,2664,2113,2409,2495,2544,3419,11789,0,11789,1145609
2020,3,11215847,자양4동,17497,8801,8696,1770,2596,2745,2586,3165,4635,879,1301,1441,1377,1649,2154,891,1295,1304,1209,1516,2481,8860,0,8860,1148618
2020,3,11215850,구의1동,22191,10601,11590,2301,4578,4375,3286,3270,4381,1174,2109,2171,1656,1561,1930,1127,2469,2204,1630,1709,2451,11676,0,11676,553095
2020,3,11215860,구의2동,27488,13260,14228,4401,3731,4169,4528,4598,6061,2219,1848,2090,2204,2173,2726,2182,1883,2079,2324,2425,3335,11636,0,11636,1363952
2020,3,11215870,구의3동,29770,14189,15581,4718,4830,4815,4728,4912,5767,2336,2344,2285,2210,2327,2687,2382,2486,2530,2518,2585,3080,12139,0,12139,1453971
2020,3,11230536,용신동,30305,15568,14737,2940,5438,5139,4319,4757,7712,1543,2695,2733,2353,2536,3708,1397,2743,2406,1966,2221,4004,16973,0,16973,1590771
2020,3,11230545,제기동,24837,12711,12126,2538,4147,3397,3231,3947,7577,1317,2261,1882,1768,2039,3444,1221,1886,1515,1463,1908,4133,12900,0,12900,1184853
2020,3,11230560,전농1동,31102,15623,15479,4300,4646,4591,4672,5048,7845,2170,2367,2389,2462,2562,3673,2130,2279,2202,2210,2486,4172,15079,0,15079,1140490
2020,3,11230570,전농2동,19572,9378,10194,3184,2457,2417,3212,3317,4985,1573,1242,1196,1525,1619,2223,1611,1215,1221,1687,1698,2762,7734,0,7734,983768
